,p-score
Margin of Error; SEX AND AGE - Total population,7.233568849954919e-95
Margin of Error; SEX AND AGE - Female,6.194314071020941e-68
Margin of Error; SEX AND AGE - 5 to 9 years,0.00011318243937937505
Margin of Error; SEX AND AGE - 20 to 24 years,0.008851532479234463
Margin of Error; SEX AND AGE - 25 to 34 years,5.440836512650858e-48
Margin of Error; SEX AND AGE - 35 to 44 years,7.343861798156503e-10
Margin of Error; SEX AND AGE - 18 years and over,6.484318807915471e-81
Margin of Error; SEX AND AGE - 18 years and over.1,6.484318807915471e-81
Margin of Error; RACE - Total population,7.233568849954919e-95
Margin of Error; RACE - One race - Black or African American,1.2298610811172196e-264
Margin of Error; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping,0.022606897662348493
Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping,1.0066571047129614e-23
Margin of Error; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping,1.9856535629540224e-05
Estimate; RACE - One race - Asian,2.122835106530688e-06
Margin of Error; RACE - One race - Asian - Chinese,1.036902451072352e-47
Margin of Error; RACE - One race - Asian - Japanese,1.0947316901024317e-09
Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,1.7863861395694277e-07
Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,0.0
Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,1.0940755978555668e-07
Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,0.04118497750416683
Estimate; RACE - Two or more races - White and Black or African American,0.0
Margin of Error; RACE - Race alone or in combination with one or more other races - Total population,7.233568849954919e-95
Margin of Error; RACE - Black or African American,0.0
Margin of Error; RACE - American Indian and Alaska Native,2.7180909631540804e-13
Margin of Error; RACE - Native Hawaiian and Other Pacific Islander,0.0028911502979346087
Estimate; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Cuban,0.0042787214457379995
Margin of Error; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Cuban,0.022444784415306042
Margin of Error; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Other Hispanic or Latino,0.0
Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Asian alone,1.2825587045585807e-06
"Estimate; Total: - $10,000 to $14,999",0.0
"Estimate; Total: - $15,000 to $19,999",2.330556081543863e-268
"Margin of Error; Total: - $15,000 to $19,999",2.936950317833138e-20
"Estimate; Total: - $20,000 to $24,999",5.706291648812988e-144
"Margin of Error; Total: - $30,000 to $34,999",6.301567822107951e-16
"Estimate; Total: - $40,000 to $44,999",4.530704466226489e-11
"Estimate; Total: - $50,000 to $59,999",1.528008889186924e-05
"Estimate; Total: - $60,000 to $74,999",4.2864376958360876e-15
"Margin of Error; Total: - $75,000 to $99,999",0.0
"Margin of Error; Total: - $100,000 to $124,999",0.0019190866806887295
length_of_service,7.336753802612296e-06
