,name,years,reportType,startBalance,receipts,expenditures,endBalance,filed
0,Maura Healey,2018,Bank Report,"$1,573,901.83","$26,268.03","$36,889.71","$1,563,280.15",3/20/2018
1,Maura Healey,2018,Bank Report,"$1,582,502.97","$7,420.49","$16,021.63","$1,573,901.83",3/5/2018
2,Maura Healey,2018,Bank Report,"$1,585,668.68","$19,887.36","$23,053.07","$1,582,502.97",2/20/2018
3,Maura Healey,2018,Bank Report,"$1,585,280.02","$11,390.01","$11,001.35","$1,585,668.68",2/2/2018
4,Maura Healey,2018,Bank Report,"$1,551,519.33","$50,797.93","$17,037.24","$1,585,280.02",1/16/2018
5,Maura Healey,2017,Bank Report,"$1,428,232.35","$147,136.42","$23,849.44","$1,551,519.33",1/2/2018
6,Maura Healey,2017,Bank Report,"$1,395,535.08","$59,957.66","$27,260.39","$1,428,232.35",12/19/2017
7,Maura Healey,2017,Bank Report,"$1,343,349.77","$64,872.73","$12,687.42","$1,395,535.08",12/4/2017
8,Maura Healey,2017,Bank Report,"$1,275,663.53","$102,547.34","$34,861.10","$1,343,349.77",11/17/2017
9,Maura Healey,2017,Bank Report,"$1,245,048.19","$37,292.93","$6,677.59","$1,275,663.53",11/2/2017
10,Maura Healey,2017,Bank Report,"$1,216,252.15","$42,745.51","$13,949.47","$1,245,048.19",10/17/2017
11,Maura Healey,2017,Bank Report,"$1,212,968.76","$15,336.14","$12,052.75","$1,216,252.15",10/3/2017
12,Maura Healey,2017,Bank Report,"$1,221,476.69","$16,217.03","$24,724.96","$1,212,968.76",9/19/2017
13,Maura Healey,2017,Bank Report,"$1,219,222.95","$13,405.13","$11,151.39","$1,221,476.69",9/5/2017
14,Maura Healey,2017,Bank Report,"$1,224,023.72","$7,155.68","$11,956.45","$1,219,222.95",8/17/2017
15,Maura Healey,2017,Bank Report,"$1,231,215.41","$18,446.49","$25,638.18","$1,224,023.72",8/2/2017
16,Maura Healey,2017,Bank Report,"$1,213,123.22","$38,997.51","$20,905.32","$1,231,215.41",7/18/2017
17,Maura Healey,2017,Bank Report,"$1,122,509.66","$98,057.98","$7,444.42","$1,213,123.22",7/5/2017
18,Maura Healey,2017,Bank Report,"$1,110,689.90","$40,108.92","$28,289.16","$1,122,509.66",6/19/2017
19,Maura Healey,2017,Bank Report,"$1,064,759.04","$53,101.18","$7,170.32","$1,110,689.90",6/1/2017
20,Maura Healey,2017,Bank Report,"$1,025,485.42","$71,886.92","$32,613.30","$1,064,759.04",5/17/2017
21,Maura Healey,2017,Bank Report,"$985,184.03","$48,041.95","$7,740.56","$1,025,485.42",5/1/2017
22,Maura Healey,2017,Bank Report,"$939,702.73","$74,232.20","$28,750.90","$985,184.03",4/18/2017
23,Maura Healey,2017,Bank Report,"$876,183.96","$104,208.11","$40,689.34","$939,702.73",4/3/2017
24,Maura Healey,2017,Bank Report,"$835,806.99","$54,719.22","$14,342.25","$876,183.96",3/17/2017
25,Maura Healey,2017,Bank Report,"$830,979.02","$11,538.50","$6,710.53","$835,806.99",3/1/2017
26,Maura Healey,2017,Bank Report,"$838,803.47","$24,730.29","$32,554.74","$830,979.02",2/16/2017
27,Maura Healey,2017,Bank Report,"$808,330.36","$41,405.13","$10,932.02","$838,803.47",2/2/2017
28,Maura Healey,2017,Bank Report,"$783,199.53","$35,660.89","$10,530.06","$808,330.36",1/17/2017
29,Maura Healey,2016,Bank Report,"$649,286.95","$151,085.18","$17,172.60","$783,199.53",1/3/2017
30,Maura Healey,2016,Bank Report,"$576,866.03","$93,196.83","$20,775.91","$649,286.95",12/19/2016
31,Maura Healey,2016,Bank Report,"$526,183.60","$53,550.96","$2,868.53","$576,866.03",12/1/2016
32,Maura Healey,2016,Bank Report,"$508,097.12","$39,490.75","$21,404.27","$526,183.60",11/16/2016
33,Maura Healey,2016,Bank Report,"$487,243.01","$25,577.29","$4,723.18","$508,097.12",11/1/2016
34,Maura Healey,2016,Bank Report,"$487,992.11","$14,781.00","$15,530.10","$487,243.01",10/17/2016
35,Maura Healey,2016,Bank Report,"$448,789.39","$41,632.85","$2,430.13","$487,992.11",10/3/2016
36,Maura Healey,2016,Bank Report,"$456,924.67","$5,555.80","$13,691.08","$448,789.39",9/19/2016
37,Maura Healey,2016,Bank Report,"$453,232.91","$6,757.44","$3,065.68","$456,924.67",9/1/2016
38,Maura Healey,2016,Bank Report,"$441,630.57","$25,495.43","$13,893.09","$453,232.91",8/16/2016
39,Maura Healey,2016,Bank Report,"$428,606.28","$19,036.38","$6,012.09","$441,630.57",8/1/2016
40,Maura Healey,2016,Bank Report,"$394,923.82","$47,079.52","$13,397.06","$428,606.28",7/18/2016
41,Maura Healey,2016,Bank Report,"$340,125.57","$66,261.21","$11,462.96","$394,923.82",7/1/2016
42,Maura Healey,2016,Bank Report,"$336,070.75","$16,061.65","$12,006.83","$340,125.57",6/16/2016
43,Maura Healey,2016,Bank Report,"$342,314.58","$6,883.46","$13,127.29","$336,070.75",6/2/2016
44,Maura Healey,2016,Bank Report,"$322,951.56","$23,848.91","$4,485.89","$342,314.58",5/16/2016
45,Maura Healey,2016,Bank Report,"$323,465.07","$2,907.16","$3,420.67","$322,951.56",5/2/2016
46,Maura Healey,2016,Bank Report,"$321,292.56","$8,031.79","$5,859.28","$323,465.07",4/18/2016
47,Maura Healey,2016,Bank Report,"$322,022.43","$2,065.04","$2,794.91","$321,292.56",4/1/2016
48,Maura Healey,2016,Bank Report,"$328,985.25",$480.24,"$7,443.06","$322,022.43",3/16/2016
49,Maura Healey,2016,Bank Report,,"$1,242.63","$6,815.93","$328,985.25",3/2/2016
50,Maura Healey,2016,Bank Report,,$687.67,"$1,632.77","$334,558.55",2/16/2016
51,Maura Healey,2016,Bank Report,,"$6,468.88","$3,861.27","$335,503.65",2/1/2016
52,Maura Healey,2016,Bank Report,,"$5,940.74","$6,768.53","$332,896.04",1/19/2016
53,Maura Healey,2015,Bank Report,"$334,558.55","$28,107.79","$2,192.10","$333,723.83",1/4/2016
54,Maura Healey,2015,Bank Report,"$335,503.65","$25,430.65","$15,928.35","$307,808.14",12/18/2015
55,Maura Healey,2015,Bank Report,"$332,896.04","$14,291.37","$9,209.59","$298,305.84",12/1/2015
56,Maura Healey,2015,Bank Report,"$333,723.83","$9,311.00","$4,751.30","$293,224.06",11/18/2015
57,Maura Healey,2015,Bank Report,"$307,808.14","$14,878.63","$7,810.95","$288,664.36",11/3/2015
58,Maura Healey,2015,Bank Report,"$298,305.84","$17,443.06","$7,424.16","$281,596.68",10/20/2015
59,Maura Healey,2015,Bank Report,"$293,224.06","$29,516.42","$2,487.97","$271,577.78",10/5/2015
60,Maura Healey,2015,Bank Report,"$288,664.36","$1,690.74","$7,837.39","$244,549.33",9/18/2015
61,Maura Healey,2015,Bank Report,"$281,596.68","$15,235.72","$9,287.87","$250,695.98",9/1/2015
62,Maura Healey,2015,Bank Report,"$271,577.78","$18,820.00","$9,756.39","$244,748.13",8/18/2015
63,Maura Healey,2015,Bank Report,"$244,549.33","$8,345.28","$7,465.14","$235,684.52",8/3/2015
64,Maura Healey,2015,Bank Report,"$250,695.98","$53,974.78","$10,020.15","$234,804.38",7/20/2015
65,Maura Healey,2015,Bank Report,"$244,748.13","$21,173.88","$15,501.29","$190,849.75",7/3/2015
66,Maura Healey,2015,Bank Report,"$235,684.52","$35,541.72","$14,165.38","$185,177.16",6/19/2015
67,Maura Healey,2015,Bank Report,"$234,804.38","$12,162.89","$1,550.00","$163,800.82",6/4/2015
68,Maura Healey,2015,Bank Report,"$190,849.75","$36,694.96","$21,622.99","$153,187.93",5/20/2015
69,Maura Healey,2015,Bank Report,"$185,177.16","$25,310.12","$3,101.03","$138,115.96",5/5/2015
70,Maura Healey,2015,Bank Report,"$163,800.82","$13,945.00","$13,740.30","$115,906.87",4/20/2015
71,Maura Healey,2015,Bank Report,"$153,187.93","$14,236.16","$4,098.52","$115,702.17",4/1/2015
72,Maura Healey,2015,Bank Report,"$138,115.96","$4,786.85","$6,070.00","$105,564.53",3/19/2015
73,Maura Healey,2015,Bank Report,"$115,906.87",$112.62,"$5,136.63","$106,847.68",3/4/2015
74,Maura Healey,2015,Bank Report,"$115,702.17","$1,052.00","$23,187.52","$111,871.69",2/18/2015
75,Maura Healey,2015,Bank Report,"$105,564.53","$2,134.47","$28,961.44","$134,007.21",2/4/2015
76,Maura Healey,2015,Bank Report,"$106,847.68","$2,859.13","$27,348.80","$160,834.18",1/29/2015
77,Maura Healey,2014,Bank Report (Days 16-End),"$111,871.69","$6,163.42","$5,553.44","$185,323.85",1/2/2015
78,Maura Healey,2014,Bank Report (Days 1-15),"$134,007.21","$1,854.35","$12,756.41","$184,713.87",12/17/2014
79,Maura Healey,2014,Bank Report (Days 16-End),"$160,834.18","$4,784.27","$56,010.03","$195,615.93",12/2/2014
80,Maura Healey,2014,Bank Report (Days 1-15),"$185,323.85","$64,593.15","$40,620.72","$246,841.69",11/19/2014
81,Maura Healey,2014,Bank Report (Days 16-End),"$184,713.87","$129,434.50","$28,655.69","$222,869.26",11/3/2014
82,Maura Healey,2014,Bank Report (Days 1-15),"$195,615.93","$97,804.09","$28,355.68","$122,090.45",10/17/2014
83,Maura Healey,2014,Bank Report (Days 16-End),"$246,841.69","$41,946.21","$31,416.87","$52,642.04",10/3/2014
84,Maura Healey,2014,Bank Report (Days 1-15),"$222,869.26","$118,567.57","$146,246.58","$42,112.70",9/18/2014
85,Maura Healey,2014,Bank Report (Days 16-End),"$122,090.45","$133,080.41","$664,229.14","$69,791.71",9/3/2014
86,Maura Healey,2014,Bank Report (Days 1-15),"$52,642.04","$78,542.34","$45,558.78","$600,940.44",8/20/2014
87,Maura Healey,2014,Bank Report (Days 16-End),"$42,112.70","$115,375.85","$50,021.66","$567,956.88",8/4/2014
88,Maura Healey,2014,Bank Report (Days 1-15),"$69,791.71","$51,988.75","$34,180.93","$502,602.69",7/17/2014
89,Maura Healey,2014,Bank Report (Days 16-End),"$600,940.44","$78,999.39","$72,299.04","$484,794.87",7/4/2014
90,Maura Healey,2014,Bank Report (Days 1-15),"$567,956.88","$26,549.11","$33,339.39","$478,094.52",6/18/2014
91,Maura Healey,2014,Bank Report (Days 16-End),"$502,602.69","$79,498.89","$26,040.43","$484,884.80",6/4/2014
92,Maura Healey,2014,Bank Report (Days 1-15),"$484,794.87","$23,474.61","$30,407.09","$431,426.34",6/3/2014
93,Maura Healey,2014,Bank Report (Days 16-End),"$478,094.52","$81,377.81","$6,663.98","$438,358.82",5/2/2014
94,Maura Healey,2014,Bank Report (Days 1-15),"$484,884.80","$25,145.90","$26,597.41","$363,644.99",4/17/2014
95,Maura Healey,2014,Bank Report (Days 16-End),"$431,426.34","$87,236.11","$10,929.33","$365,096.50",4/3/2014
96,Maura Healey,2014,Bank Report (Days 1-15),"$438,358.82","$19,651.86","$12,839.89","$288,789.72",3/19/2014
97,Maura Healey,2014,Bank Report (Days 16-End),"$363,644.99","$42,995.06","$12,664.94","$281,977.75",3/4/2014
98,Maura Healey,2014,Bank Report (Days 1-15),"$365,096.50","$24,482.09","$9,796.53","$251,647.63",2/19/2014
99,Maura Healey,2014,Bank Report (Days 16-End),"$288,789.72","$54,846.15","$7,595.17","$236,962.07",2/4/2014
100,Maura Healey,2014,Bank Report (Days 1-15),"$281,977.75","$19,112.94","$19,666.09","$189,711.09",1/17/2014
101,Maura Healey,2013,Bank Report (Days 16-End),"$251,647.63","$81,270.82","$6,395.53","$190,264.24",1/3/2014
102,Maura Healey,2013,Bank Report (Days 1-15),"$236,962.07","$67,105.66",$950.88,"$115,388.95",12/17/2013
103,Maura Healey,2013,Bank Report (Days 16-End),,"$18,719.65","$3,162.68","$49,234.17",12/2/2013
104,Maura Healey,2013,Bank Report (Days 1-15),,"$26,035.19",$608.00,"$33,677.19",11/19/2013
105,Maura Healey,2013,Bank Report (Days 16-End),,"$8,250.00",$0.00,"$8,250.00",11/6/2013
106,Martha Coakley,2016,Bank Report,"$2,504.47",$0.00,"$2,504.47",$0.00,7/19/2016
107,Martha Coakley,2016,Bank Report,"$2,524.42",$0.00,$19.95,"$2,504.47",6/16/2016
108,Martha Coakley,2016,Bank Report,"$2,573.82",$0.00,$49.40,"$2,524.42",6/2/2016
109,Martha Coakley,2016,Bank Report,"$2,593.77",$0.00,$19.95,"$2,573.82",5/16/2016
110,Martha Coakley,2016,Bank Report,"$2,643.19",$0.00,$49.42,"$2,593.77",5/2/2016
111,Martha Coakley,2016,Bank Report,"$2,663.14",$0.00,$19.95,"$2,643.19",4/18/2016
112,Martha Coakley,2016,Bank Report,"$2,712.55",$0.00,$49.41,"$2,663.14",4/1/2016
113,Martha Coakley,2016,Bank Report,"$2,732.50",$0.00,$19.95,"$2,712.55",3/16/2016
114,Martha Coakley,2016,Bank Report,"$2,782.19",$0.00,$49.69,"$2,732.50",3/1/2016
115,Martha Coakley,2016,Bank Report,"$2,802.14",$0.00,$19.95,"$2,782.19",2/16/2016
116,Martha Coakley,2016,Bank Report,"$3,357.78",$0.00,$555.65,"$2,802.14",2/1/2016
117,Martha Coakley,2016,Bank Report,"$3,377.73",$0.00,$19.95,"$3,357.78",1/19/2016
118,Martha Coakley,2015,Bank Report,"$5,927.52",$0.00,"$2,549.79","$3,377.73",1/4/2016
119,Martha Coakley,2015,Bank Report,"$5,947.47",$0.00,$19.95,"$5,927.52",12/17/2015
120,Martha Coakley,2015,Bank Report,"$5,997.29",$0.00,$49.82,"$5,947.47",12/1/2015
121,Martha Coakley,2015,Bank Report,"$6,017.24",$0.00,$19.95,"$5,997.29",11/17/2015
122,Martha Coakley,2015,Bank Report,"$6,067.05",$0.00,$49.81,"$6,017.24",11/2/2015
123,Martha Coakley,2015,Bank Report,"$6,087.00",$0.00,$19.95,"$6,067.05",10/19/2015
124,Martha Coakley,2015,Bank Report,"$6,137.95",$0.00,$50.95,"$6,087.00",10/5/2015
125,Martha Coakley,2015,Bank Report,"$6,157.90",$0.00,$19.95,"$6,137.95",9/17/2015
126,Martha Coakley,2015,Bank Report,"$6,209.01",$0.00,$51.11,"$6,157.90",9/1/2015
127,Martha Coakley,2015,Bank Report,"$6,829.03","$16,500.00","$17,120.02","$6,209.01",8/17/2015
128,Martha Coakley,2015,Bank Report,"$7,628.74",$0.00,$799.71,"$6,829.03",8/3/2015
129,Martha Coakley,2015,Bank Report,"$6,648.69","$1,000.00",$19.95,"$7,628.74",7/20/2015
130,Martha Coakley,2015,Bank Report,"$6,699.79",$0.00,$51.10,"$6,648.69",7/2/2015
