year,district,name,party,vote_count,vote_percent
2016,Dukes,Paulo C. Deoliveira,Democratic,"8,229",76.8
2016,Suffolk,Stephen J. Murphy,Democratic,"180,667",71.7
2012,Plymouth,"John R. Buckley, Jr.",Democratic,"137,417",60.1
2012,Middlesex Southern,Maria C. Curtatone,Democratic,"424,295",99.0
2012,Bristol Southern,J. Mark Treadup,Democratic,"55,464",99.4
2012,Berkshire Northern,Frances T. Brooks,Democratic,"15,873",99.8
2012,Hampden,Donald E. Ashe,Democratic,"146,367",98.9
2012,Berkshire Southern,Wanda M. Beckwith,Unenrolled,"7,375",99.7
2012,Essex Southern,"John L. O'Brien, Jr.",Democratic,"200,019",99.2
2012,Hampshire,Mary K. Olberding,Democratic,"43,226",61.1
2012,Essex Northern,M. Paul Iannuccillo,Democratic,"38,317",55.3
2012,Dukes,Dianne E. Powers,Democratic,"8,729",99.7
2012,Worcester Northern,Kathleen Reynolds Daigneault,Democratic,"26,737",66.9
2012,Franklin,Scott A. Cote,Democratic,"30,335",99.6
2012,Worcester,Anthony J. Vigliotti,Democratic,"222,862",98.9
2012,Bristol Northern,Barry J. Amaral,Democratic,"84,086",98.5
2012,Norfolk,William P. O'Donnell,Democratic,"249,130",98.2
2012,Barnstable,John F. Meade,Republican,"94,454",99.6
2012,Berkshire Middle,Patsy Harris,Democratic,"27,919",99.7
2012,Middlesex Northern,"Richard P. Howe, Jr.",Democratic,"103,555",98.9
2012,Suffolk,Mickey Roache,Democratic,"207,514",98.4
2012,Fall River,"Bernard J. McDonald, III",Democratic,"38,839",99.9
2012,Nantucket,Jennifer H. Ferreira,Unenrolled,"4,706",99.6
